food,ore,wood,poop,run_id
340,49,97,20,1
280,46,91,0,1
220,22,86,0,1
160,62,86,0,1
100,86,70,0,1
40,118,62,0,1
0,130,46,0,1
0,142,46,0,1
0,130,14,3,1
0,138,14,0,1
0,142,14,0,1
0,146,14,0,1
0,150,14,0,1
0,154,14,0,1
0,154,14,0,1
0,154,14,0,1
0,154,14,0,1
340,47,94,20,2
280,39,78,40,2
220,23,46,60,2
160,23,46,80,2
100,23,46,100,2
40,21,42,120,2
120,21,42,140,2
348,21,42,198,2
841,21,42,343,2
870,21,42,517,2
1023,5,10,722,2
1386,5,10,974,2
1768,4,7,1282,2
1085,4,7,1126,2
1085,4,7,970,2
1085,4,7,814,2
1085,4,7,658,2
1085,4,7,502,2
1085,4,7,346,2
1085,4,7,190,2
1085,4,7,34,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
1085,4,7,0,2
340,50,100,20,3
280,47,94,40,3
220,46,91,60,3
160,46,91,20,3
100,22,86,4,3
40,45,78,0,3
0,53,62,0,3
0,51,58,0,3
0,57,66,0,3
0,60,74,0,3
0,63,78,0,3
0,55,62,0,3
0,58,66,0,3
0,58,70,0,3
0,58,74,0,3
0,58,74,0,3
0,58,74,0,3
340,49,97,20,4
318,45,81,20,4
296,42,99,17,4
275,42,123,11,4
253,34,123,11,4
231,18,99,17,4
210,18,123,11,4
188,18,147,5,4
167,14,159,2,4
145,14,175,0,4
123,14,191,0,4
102,6,187,0,4
80,6,199,0,4
59,6,211,0,4
37,6,223,0,4
15,6,235,0,4
0,6,247,0,4
0,6,259,0,4
0,6,267,0,4
0,6,275,0,4
0,6,283,0,4
0,6,287,0,4
0,6,291,0,4
0,6,295,0,4
0,6,299,1,4
340,47,94,20,5
280,39,78,40,5
220,37,74,60,5
172,33,58,80,5
118,21,53,100,5
65,29,41,120,5
10,23,17,140,5
75,22,14,145,5
89,22,14,150,5
106,18,6,160,5
120,18,6,152,5
151,18,6,143,5
194,18,6,133,5
225,18,6,118,5
284,18,6,100,5
378,18,6,98,5
390,18,6,88,5
390,18,6,71,5
390,18,6,54,5
390,18,6,37,5
390,18,6,20,5
390,18,6,3,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
390,18,6,0,5
340,48,96,20,6
520,48,96,40,6
604,44,80,60,6
616,20,99,80,6
604,24,107,100,6
609,34,127,120,6
626,42,143,135,6
631,47,153,150,6
648,52,162,162,6
618,42,142,176,6
618,48,150,184,6
626,54,162,189,6
599,44,142,202,6
634,50,154,212,6
660,56,166,221,6
679,58,170,231,6
681,66,182,235,6
596,8,172,256,6
573,19,184,262,6
537,20,180,271,6
452,5,148,289,6
452,13,160,292,6
452,21,172,295,6
452,29,184,298,6
