Time,run_id
0.1000728384154291,1
0.1971799409280585,1
0.292259717900147,1
0.3874235304638175,1
0.4819515671500617,1
0.5761197363381805,1
0.6697611029480102,1
0.7622867518012688,1
0.8547133875180465,1
0.8920429328055387,1
0.9292772371181774,1
0.9664180807657554,1
1.0034671787199925,1
1.0404261841467162,1
1.0772966916879427,1
1.16908024051561,1
1.2607783171764808,1
1.2973923582457696,1
1.3889237528053024,1
1.4253738447604762,1
1.461743935008918,1
1.4980352834725188,1
1.53424911100344,1
1.570386601173707,1
1.6614489019571517,1
1.6974371273116704,1
1.7883523586690837,1
1.879195646339236,1
1.914968010834429,1
1.950670444119748,1
2.0413039107944053,1
2.076869349208784,1
2.112367672521502,1
2.2027997697004698,1
2.2381665064716008,1
2.273468726218552,1
2.3087072508366164,1
2.3988828815436465,1
3.18421321446854,1
4.3226625646284695,1
4.350776695348966,1
4.378802849613773,1
4.406742543616044,1
4.489597246684777,1
4.517368386202204,1
4.545057334639775,1
4.572665418200838,1
4.600193922110545,1
4.627644098066437,1
4.655017149337279,1
4.737314250954139,1
4.764536539726603,1
4.791685116179931,1
4.818761049472439,1
4.845765382685411,1
4.872699129097807,1
4.954563262575018,1
5.036358746402609,1
5.063086512201178,1
5.089747463055598,1
5.116342478134381,1
5.142872416116941,1
5.169338113330948,1
5.195740385614979,1
5.277080028020489,1
5.303357812278616,1
5.384574497752535,1
5.465730818622458,1
5.49182749603008,1
5.517865233757245,1
5.540635655336725,1
5.560779415704953,1
5.580903981514918,1
5.601009427272427,1
5.67609581973468,1
5.696163243316757,1
5.771211757027256,1
5.79124144341861,1
5.81125236924802,1
5.88624460127269,1
5.901215591170537,1
5.916113587730276,1
5.975919144862044,1
6.035724701993811,1
6.043627599888193,1
6.804616789036142,1
7.514409701042521,1
7.531019800045239,1
7.602594562508809,1
7.619134238623726,1
7.635639070235836,1
7.652109299489009,1
7.668545164801824,1
7.73994689498161,1
7.754478235431659,1
7.823942687996375,1
7.838341128715026,1
7.852674423419582,1
7.866943408437717,1
7.881148899608004,1
0.1000728384154291,2
0.1966799409280585,2
0.236259717900147,2
0.3294010845099767,2
0.4214267333632353,2
0.4575407744325241,2
0.5339046620159563,2
0.6046025805502352,2
1.3221381359129367,2
1.346358138728064,2
1.4254152585148034,2
1.5045045350073991,2
1.5836261768221078,2
1.6626832966088472,2
1.6868702970772205,2
1.7658954687743602,2
1.8435296617775376,2
1.9126214213996349,2
3.091066283765357,2
4.732148451390785,2
4.818792668762725,2
4.892702115359825,2
6.022288335147422,2
6.108612013640922,2
6.189775747838539,2
